"id","name","title","addedDate","bdr","company","source","status","link","phone","notes","email"
"1915","Samuel Feil","International Mobility Consultant","2025-06-25 08:28:40.585","Jennifer Davies","Advanced Analytics (Retail)","LinkedIn","New Lead",,"(358) 854-7927 x700","Lead from Retail industry via Cold Call","Syble.Deckow14@hotmail.com"
"1916","Ms. Christy Olson DDS","Legacy Implementation Representative","2025-06-09 09:55:39.178","Thomas Hardy","TechCorp Solutions (Healthcare)","Cold Call","Converted",,"506-376-4652 x1913","Lead from Healthcare industry via Trade Show","Marcelo15@gmail.com"
"1917","Gustavo Borer","National Security Architect","2025-07-22 16:33:12.159","Dan Reeves","Strategic Partners (Consulting)","Webinar","New Lead",,"354-314-1241","Lead from Consulting industry via LinkedIn","Jany88@hotmail.com"
"1918","Dr. Scott VonRueden","Corporate Integration Officer","2025-08-05 16:35:04.883","Jess Collins","NextGen Technologies (Construction)","Referral","New Lead",,"1-620-821-0980 x16137","Lead from Construction industry via Cold Call","Rosina42@hotmail.com"
"1919","Ms. Bridget Weimann Sr.","Customer Infrastructure Executive","2025-06-09 12:46:53.358","Naeem Patel","Innovation Hub (Legal)","Content Marketing","New Lead",,"554.389.4409","Lead from Legal industry via Partner","Wiley84@gmail.com"
"1920","Karl Herzog","Dynamic Mobility Designer","2025-06-30 09:01:41.312","Stephen Vivian","Advanced Analytics (Real Estate)","Partner","New Lead",,"(277) 828-7639","Lead from Real Estate industry via Partner","Ryan51@gmail.com"
"1921","Irene Bartell","National Intranet Producer","2025-07-14 16:29:38.459","Jamie Waite","TechCorp Solutions (Healthcare)","Cold Email","New Lead",,"734-652-5255 x15448","Lead from Healthcare industry via Website Form","Hardy_Kemmer9@yahoo.com"
"1922","Johnnie Russel","Dynamic Configuration Agent","2025-06-23 10:30:36.154","Naeem Patel","Strategic Partners (Legal)","Website Form","New Lead",,"(816) 831-3492 x4267","Lead from Legal industry via Cold Call","Misty.Lakin20@yahoo.com"
"1923","Ms. Kelly Gislason","Regional Brand Designer","2025-07-14 14:34:43.43","Jamie Waite","Innovation Hub (Retail)","Webinar","New Lead",,"1-834-623-8376 x250","Lead from Retail industry via Content Marketing","Paige.Kozey@hotmail.com"
"1924","Mrs. Jamie Kuhlman","Chief Web Engineer","2025-06-20 10:00:08.092","Jess Collins","Innovation Hub (Healthcare)","Social Media","New Lead",,"623.665.8196","Lead from Healthcare industry via Trade Show","Dewitt8@gmail.com"
"1925","Elsa Botsford","National Interactions Administrator","2025-07-15 12:14:44.803","Stephen Vivian","Innovation Hub (Manufacturing)","Referral","New Lead",,"(402) 649-5869 x69453","Lead from Manufacturing industry via Webinar","Louie_Hintz@gmail.com"
"1926","Max Batz","District Metrics Associate","2025-06-09 09:46:23.926","Stephen Vivian","Data Solutions (Retail)","Cold Email","New Lead",,"1-221-343-6256","Lead from Retail industry via Cold Call","Felipa_Leuschke@yahoo.com"
"1927","Jimmy Ortiz","Regional Research Orchestrator","2025-06-17 15:09:34.896","Jess Collins","Business Dynamics (Finance)","Webinar","New Lead",,"1-598-521-0496 x29500","Lead from Finance industry via Webinar","August.DuBuque@hotmail.com"
"1928","Stuart Hills","Direct Solutions Planner","2025-06-23 14:00:39.937","Jamie Waite","TechCorp Solutions (Finance)","Referral","Converted",,"(609) 874-2594 x59934","Lead from Finance industry via Trade Show","Alex22@yahoo.com"
"1929","Brandy Walsh IV","Global Communications Analyst","2025-07-30 15:33:45.403","Jennifer Davies","Elite Consulting (Consulting)","Website Form","New Lead",,"(792) 782-2327 x8559","Lead from Consulting industry via Partner","Bert.Ryan@hotmail.com"
"1930","Ethel Feeney-Mayert","Human Solutions Orchestrator","2025-07-28 10:14:05.699","Naeem Patel","Innovation Hub (Real Estate)","Website Form","New Lead",,"1-885-256-8049","Lead from Real Estate industry via Webinar","Chloe.Paucek@gmail.com"
"1931","Francis Collins","International Group Executive","2025-08-04 08:25:01.923","Jamie Waite","Growth Partners (Healthcare)","Cold Call","New Lead",,"(229) 955-3757 x2347","Lead from Healthcare industry via Partner","Daisy57@yahoo.com"
"1932","Roger Wisozk","Legacy Markets Supervisor","2025-06-10 16:12:35.212","Verity Kay","Data Solutions (Retail)","Referral","New Lead",,"388.790.0654 x9279","Lead from Retail industry via Partner","Julie.Blick55@hotmail.com"
"1933","Sonja Mitchell","Regional Directives Officer","2025-07-07 14:48:34.638","Stephen Vivian","Enterprise Solutions (Construction)","Website Form","New Lead",,"685.272.5566 x2265","Lead from Construction industry via Cold Email","Burley.Padberg@gmail.com"
"1934","Jenny Schinner","Regional Accountability Associate","2025-07-07 14:45:06.917","Jamie Waite","Prime Business Group (Real Estate)","Social Media","New Lead",,"1-784-349-9608 x225","Lead from Real Estate industry via Partner","Tony_Dibbert81@gmail.com"
"1935","Alice Olson","Legacy Accounts Engineer","2025-07-29 15:05:19.967","Dan Reeves","Strategic Partners (Finance)","Partner","New Lead",,"(947) 490-0052 x936","Lead from Finance industry via Content Marketing","Dahlia.Welch@gmail.com"
"1936","Mr. Andre Hettinger","Product Factors Liaison","2025-06-16 13:12:15.201","Thomas Hardy","Advanced Analytics (Healthcare)","Partner","New Lead",,"709-395-0842 x260","Lead from Healthcare industry via Partner","Kim_Rempel@yahoo.com"
"1937","Clark Altenwerth PhD","Dynamic Branding Liaison","2025-06-26 11:33:39.115","Jamie Waite","Growth Partners (Legal)","Partner","New Lead",,"878.623.9631 x6838","Lead from Legal industry via Partner","Derick.Kovacek@gmail.com"
