"id","name","title","addedDate","lastUpdated","bdr","company","category","status","value","probability","expectedCloseDate","link","phone","notes","email","leadId","callDate","parentId","isSublist","sublistName","sortOrder","agreementDate","partnerListDueDate","partnerListSentDate","firstSaleDate","partnerListSize","totalSalesFromList"
"6535","Josefina Cormier","Product Branding Facilitator","2025-08-05 16:53:18.963","2025-08-05 16:53:18.963","Naeem Patel","Elite Consulting (Legal)","Calls","Interested",,"60",,,"225-439-4893 x3607","This week Legal opportunity","Zora.Trantow@hotmail.com",,"2025-08-05 16:53:18.963",,"false",,"769",,,,,,
"6540","Eugene Emard","Dynamic Accounts Planner","2025-08-05 16:55:55.166","2025-08-05 16:55:55.166","Naeem Patel","Growth Partners (Real Estate)","Calls","Not Responsive",,"5",,,"(799) 763-5186 x0951","This week Real Estate opportunity","Garrison.DuBuque20@yahoo.com",,"2025-08-05 16:55:55.166",,"false",,"946",,,,,,
"6542","Fannie Ernser","Legacy Usability Designer","2025-07-30 14:14:03.679","2025-07-30 14:14:03.679","Naeem Patel","Prime Business Group (Marketing)","Calls","Call Conducted",,"30",,,"498-239-7306 x2789","Last week Marketing opportunity","Meta65@gmail.com",,"2025-07-30 14:14:03.679",,"false",,"811",,,,,,
"6545","Thomas Cummerata","Future Brand Facilitator","2025-07-31 15:16:15.167","2025-07-31 15:16:15.167","Naeem Patel","Data Solutions (Real Estate)","Calls","Call Conducted",,"30",,,"1-484-449-8584 x989","Last week Real Estate opportunity","Ludwig_Crooks93@gmail.com",,"2025-07-31 15:16:15.167",,"false",,"580",,,,,,
"6546","Juanita Armstrong","Direct Functionality Technician","2025-07-30 15:51:00.764","2025-07-30 15:51:00.764","Naeem Patel","TechCorp Solutions (Hospitality)","Calls","Call Conducted",,"30",,,"897-254-1153 x27748","Last week Hospitality opportunity","Ophelia95@gmail.com",,"2025-07-30 15:51:00.764",,"false",,"528",,,,,,
"6547","Jasmine Fay","Internal Interactions Strategist","2025-07-30 11:30:08.283","2025-07-30 11:30:08.283","Naeem Patel","Business Dynamics (Consulting)","Calls","Call Conducted",,"30",,,"779.524.0773","Last week Consulting opportunity","Lorine60@hotmail.com",,"2025-07-30 11:30:08.283",,"false",,"698",,,,,,
"6551","Tom Kerluke","Forward Branding Specialist","2025-08-01 09:32:58.606","2025-08-11 09:32:58.606","Naeem Patel","Business Dynamics (Construction)","Lists_Media_QA","Sold","14690.61510368453","100","2025-08-18 09:32:58.606",,"204-499-6561 x5008","[11/08/2025] Deal_Closed: Deal closed: Standard Package - £14691","Sasha0@yahoo.com",,"2025-08-01 09:32:58.606",,"true","Business Dynamics (Construction) - Partner Network","599","2025-08-04 09:32:58.606",,"2025-08-07 09:32:58.606","2025-08-11 09:32:58.606","8","2"
"6552","Mabel Kirlin","District Applications Administrator","2025-08-01 11:11:02.493","2025-08-01 11:11:02.493","Naeem Patel","Advanced Analytics (Legal)","Calls","Call Conducted",,"35",,,"641-920-2269 x2457","Earlier this month Legal opportunity","Alejandra33@hotmail.com",,"2025-08-01 11:11:02.493",,"false",,"839",,,,,,
"6554","Jan Powlowski","Regional Assurance Producer","2025-08-01 10:18:51.997","2025-08-01 10:18:51.997","Naeem Patel","NextGen Technologies (Construction)","Calls","Call Conducted",,"35",,,"885.945.0136","Earlier this month Construction opportunity","Virginie48@yahoo.com",,"2025-08-01 10:18:51.997",,"false",,"833",,,,,,
"6558","Dominick Fritsch","Forward Research Strategist","2025-08-01 09:35:10.245","2025-08-01 09:35:10.245","Naeem Patel","Data Solutions (Technology)","Calls","Call Conducted",,"35",,,"566-539-9569 x58369","Earlier this month Technology opportunity","Blanca_Hilpert@yahoo.com",,"2025-08-01 09:35:10.245",,"false",,"876",,,,,,
"6560","Roxanne Mueller","Principal Security Technician","2025-08-01 12:24:44.353","2025-08-01 12:24:44.353","Naeem Patel","Strategic Partners (Consulting)","Calls","Call Conducted",,"35",,,"856.365.4092 x90150","Earlier this month Consulting opportunity","Angeline.Kassulke39@hotmail.com",,"2025-08-01 12:24:44.353",,"false",,"62",,,,,,
"6561","Tina Farrell III","Principal Marketing Designer","2025-08-01 16:40:49.447","2025-08-01 16:40:49.447","Naeem Patel","Innovation Hub (Real Estate)","Calls","Call Conducted",,"35",,,"1-490-352-3198 x30659","Earlier this month Real Estate opportunity","Shanel.Nader9@gmail.com",,"2025-08-01 16:40:49.447",,"false",,"184",,,,,,
"6562","Chris Runte MD","Central Paradigm Liaison","2025-08-01 08:50:15.626","2025-08-01 08:50:15.626","Naeem Patel","Strategic Partners (Healthcare)","Calls","Call Conducted",,"35",,,"361.472.5906 x3223","Earlier this month Healthcare opportunity","Noemie.Walsh86@gmail.com",,"2025-08-01 08:50:15.626",,"false",,"879",,,,,,
"6565","Wade Cole","National Web Strategist","2025-08-01 11:35:28.998","2025-08-01 11:35:28.998","Naeem Patel","Enterprise Solutions (Healthcare)","Calls","Call Conducted",,"35",,,"373-413-0680 x273","Earlier this month Healthcare opportunity","Darron46@hotmail.com",,"2025-08-01 11:35:28.998",,"false",,"253",,,,,,
"6570","Drew Turner","Senior Response Producer","2025-08-01 08:37:38.617","2025-08-01 08:37:38.617","Naeem Patel","Growth Partners (Manufacturing)","Calls","Call Conducted",,"35",,,"1-761-287-8462","Earlier this month Manufacturing opportunity","Oleta_Windler60@yahoo.com",,"2025-08-01 08:37:38.617",,"false",,"670",,,,,,
"6571","Homer Sawayn","Chief Response Designer","2025-07-11 10:05:27.16","2025-07-17 22:58:46.187","Naeem Patel","TechCorp Solutions (Marketing)","Lists_Media_QA","Sold","21647.17056543138","100","2025-07-26 10:05:27.16",,"495.882.0018 x05224","[17/07/2025] Deal_Closed: Deal closed: Standard Package - £21647","Fletcher85@gmail.com",,"2025-07-11 10:05:27.16",,"true","TechCorp Solutions (Marketing) - Partner Network","103","2025-07-12 10:05:27.16",,"2025-07-13 10:05:27.16","2025-07-17 22:58:46.187","10","3"
"6572","Angel Hettinger","Legacy Intranet Assistant","2025-07-15 13:16:45.161","2025-07-15 13:16:45.161","Naeem Patel","Growth Partners (Technology)","Calls","Call Conducted",,"35",,,"(928) 393-5109 x15596","Last month Technology opportunity","Larue77@hotmail.com",,"2025-07-15 13:16:45.161",,"false",,"524",,,,,,
"6573","Renee Heller","National Integration Assistant","2025-07-02 14:20:26.224","2025-07-10 12:36:58.867","Naeem Patel","Strategic Partners (Construction)","Lists_Media_QA","Sold","14727.8531851844","100","2025-07-17 14:20:26.224",,"935-305-4369 x152","[10/07/2025] Deal_Closed: Deal closed: Standard Package - £14728","Walter.Ondricka30@gmail.com",,"2025-07-02 14:20:26.224",,"true","Strategic Partners (Construction) - Partner Network","594","2025-07-03 14:20:26.224",,"2025-07-05 14:20:26.224","2025-07-10 12:36:58.867","14","4"
"6574","Luke Lakin","Central Intranet Engineer","2025-07-21 09:46:12.735","2025-07-24 09:46:12.735","Naeem Patel","Digital Innovations Ltd (Technology)","Lists_Media_QA","Partner List Sent","11705.33042921425","90","2025-08-06 09:46:12.735",,"572-374-0171","Last month Technology opportunity","Frederick12@gmail.com",,"2025-07-21 09:46:12.735",,"true","Digital Innovations Ltd (Technology) - Partner List","904","2025-07-23 09:46:12.735",,"2025-07-24 09:46:12.735",,"8","0"
"6575","Gilberto Shields I","Forward Brand Director","2025-07-25 12:52:23.316","2025-07-29 12:52:23.316","Naeem Patel","Global Systems Inc (Marketing)","Lists_Media_QA","Partner List Sent","6753.773403986013","90","2025-08-09 12:52:23.316",,"1-460-449-8716 x0049","Last month Marketing opportunity","Annie_Blanda11@hotmail.com",,"2025-07-25 12:52:23.316",,"true","Global Systems Inc (Marketing) - Partner List","379","2025-07-26 12:52:23.316",,"2025-07-29 12:52:23.316",,"12","1"
"6576","Joann Rath","Senior Usability Supervisor","2025-07-29 11:40:24.08","2025-08-01 11:40:24.08","Naeem Patel","Smart Systems (Finance)","Pipeline","Agreement - Profile","11218.51382291911","75","2025-08-15 11:40:24.08",,"273.728.7555 x1912","Last month Finance opportunity","Mckenzie_Farrell56@gmail.com",,"2025-07-29 11:40:24.08",,"false",,"728","2025-08-01 11:40:24.08",,,,,
"6577","Nora Beier","Global Creative Strategist","2025-07-14 13:09:04.369","2025-07-17 13:09:04.369","Naeem Patel","Future Tech (Legal)","Pipeline","Agreement - Media","17571.87130798296","75","2025-07-31 13:09:04.369",,"992.210.4422 x033","Last month Legal opportunity","Walter75@hotmail.com",,"2025-07-14 13:09:04.369",,"false",,"838","2025-07-17 13:09:04.369",,,,,
"6578","Nicholas Hudson-Satterfield","Future Branding Associate","2025-07-03 10:40:17.601","2025-07-04 10:40:17.601","Naeem Patel","Global Systems Inc (Construction)","Pipeline","Agreement - Profile","12136.66058116413","75","2025-07-18 10:40:17.601",,"(655) 253-4260","Last month Construction opportunity","Karen.Dicki@hotmail.com",,"2025-07-03 10:40:17.601",,"false",,"977","2025-07-04 10:40:17.601",,,,,
"6579","Marcos Ortiz","Global Marketing Designer","2025-07-31 15:31:43.888","2025-08-02 15:31:43.888","Naeem Patel","Strategic Partners (Hospitality)","Pipeline","Agreement - Profile","12796.85571573111","75","2025-08-16 15:31:43.888",,"800.491.5647 x28333","Last month Hospitality opportunity","George_Huel@gmail.com",,"2025-07-31 15:31:43.888",,"false",,"946","2025-08-02 15:31:43.888",,,,,
"6580","Kathy Beer","Customer Accountability Strategist","2025-07-18 13:24:57.45","2025-07-18 13:24:57.45","Naeem Patel","Innovation Hub (Manufacturing)","Calls","Call Conducted",,"35",,,"1-944-936-2357 x54759","Last month Manufacturing opportunity","Marcelina_Mills73@gmail.com",,"2025-07-18 13:24:57.45",,"false",,"114",,,,,,
"6581","Freddie Ryan","Senior Brand Agent","2025-07-18 14:33:39.73","2025-07-21 14:33:39.73","Naeem Patel","NextGen Technologies (Construction)","Pipeline","Agreement - Media","12643.19879321144","75","2025-08-04 14:33:39.73",,"481.876.3430 x7247","Last month Construction opportunity","Brendon0@gmail.com",,"2025-07-18 14:33:39.73",,"false",,"364","2025-07-21 14:33:39.73",,,,,
"6582","Kent Weissnat-Koss","Investor Accounts Producer","2025-07-21 14:41:02.484","2025-07-24 14:41:02.484","Naeem Patel","Strategic Partners (Hospitality)","Pipeline","Agreement - Profile","17776.30458900403","75","2025-08-07 14:41:02.484",,"988-409-0801 x812","Last month Hospitality opportunity","Brady_Trantow92@gmail.com",,"2025-07-21 14:41:02.484",,"false",,"87","2025-07-24 14:41:02.484",,,,,
"6583","Donna Pfeffer","Central Usability Planner","2025-07-14 08:30:59.65","2025-07-15 08:30:59.65","Naeem Patel","TechCorp Solutions (Marketing)","Pipeline","Agreement - Media","12637.39268280422","75","2025-07-29 08:30:59.65",,"(487) 574-2189 x183","Last month Marketing opportunity","Albin32@hotmail.com",,"2025-07-14 08:30:59.65",,"false",,"535","2025-07-15 08:30:59.65",,,,,
"6584","Michael Rodriguez-Jones","Product Quality Producer","2025-07-23 13:53:44.515","2025-07-23 13:53:44.515","Naeem Patel","NextGen Technologies (Legal)","Calls","Call Conducted",,"35",,,"924-609-0495 x4079","Last month Legal opportunity","Reece_Murazik89@hotmail.com",,"2025-07-23 13:53:44.515",,"false",,"939",,,,,,
